trans_vers	exon	exon_start	exon_end	trans_start	trans_end	prot_start	prot_end
1	1	5001	5229	1	229	1	35
1	2	6693	6887	230	424	35	100
1	3	7050	7084	425	459	100	111
1	4	7187	7222	460	495	112	123
1	5	7313	7414	496	597	124	157
1	6	8136	8207	598	669	158	181
1	7	8435	8479	670	714	182	196
1	8	8638	8691	715	768	197	214
1	9	8855	8908	769	822	215	232
1	10	9407	9460	823	876	233	250
1	11	9577	9630	877	930	251	268
1	12	9970	10023	931	984	269	286
1	13	10112	10156	985	1029	287	301
1	14	10273	10326	1030	1083	302	319
1	15	10441	10485	1084	1128	320	334
1	16	10664	10717	1129	1182	335	352
1	17	10975	11073	1183	1281	353	385
1	18	11162	11206	1282	1326	386	400
1	19	11310	11408	1327	1425	401	433
1	20	11540	11593	1426	1479	434	451
1	21	11812	11919	1480	1587	452	487
1	22	12014	12067	1588	1641	488	505
1	23	12193	12291	1642	1740	506	538
1	24	12457	12510	1741	1794	539	556
1	25	12599	12697	1795	1893	557	589
1	26	13593	13646	1894	1947	590	607
1	27	13790	13843	1948	2001	608	625
1	28	13947	14000	2002	2055	626	643
1	29	14112	14165	2056	2109	644	661
1	30	14616	14660	2110	2154	662	676
1	31	14754	14852	2155	2253	677	709
1	32	15150	15257	2254	2361	710	745
1	33	15716	15823	2362	2469	746	781
1	34	16044	16097	2470	2523	782	799
1	35	16260	16313	2524	2577	800	817
1	36	16532	16639	2578	2685	818	853
1	37	16728	16781	2686	2739	854	871
1	38	16908	16961	2740	2793	872	889
1	39	17102	17263	2794	2955	890	943
1	40	17365	17472	2956	3063	944	979
1	41	17630	17737	3064	3171	980	1015
1	42	17845	17898	3172	3225	1016	1033
1	43	18003	18110	3226	3333	1034	1069
1	44	18491	18544	3334	3387	1070	1087
1	45	18657	18764	3388	3495	1088	1123
1	46	19103	19156	3496	3549	1124	1141
1	47	19518	19625	3550	3657	1142	1177
1	48	19718	20000	3658	3940	1178	1272
1	49	20133	20323	3941	4131	1272	1335
1	50	20620	20862	4132	4374	1336	1416
1	51	20992	22544	4375	5927	1417	1464
