trans_vers	exon	exon_start	exon_end	trans_start	trans_end	prot_start	prot_end
1	1	5001	5303	1	303	1	46
1	2	8534	8660	304	430	46	88
1	3	43853	43968	431	546	89	127
1	4	46334	46453	547	666	127	167
1	5	49079	49117	667	705	167	180
1	6	50210	50277	706	773	180	203
1	7	61271	61381	774	884	203	240
1	8	64069	64211	885	1027	240	287
1	9	66148	66225	1028	1105	288	313
1	10	68748	68857	1106	1215	314	350
1	11	69781	69858	1216	1293	350	376
1	12	74659	74746	1294	1381	376	405
1	13	78172	78288	1382	1498	406	444
1	14	80848	80904	1499	1555	445	463
1	15	81307	81338	1556	1587	464	474
1	16	81419	81495	1588	1664	474	500
1	17	82501	82697	1665	1861	500	565
1	18	154247	154365	1862	1980	566	605
1	19	157458	157603	1981	2126	605	654
1	20	160942	161087	2127	2272	654	702
1	21	164985	165089	2273	2377	703	737
1	22	166252	166365	2378	2491	738	775
1	23	166459	166622	2492	2655	776	830
1	24	174614	174644	2656	2686	830	840
1	25	177955	178097	2687	2829	841	888
1	26	178609	178658	2830	2879	888	905
1	27	181252	183144	2880	4772	905	928
