trans_vers,exon,exon_start,exon_end,trans_start,trans_end,prot_start,prot_end
1,1,133054,133328,1,275,1,11
1,2,324410,324471,276,337,11,31
1,3,494790,494882,338,430,32,62
1,4,499750,499827,431,508,63,88
1,5,521223,521315,509,601,89,119
1,6,527970,528142,602,774,120,177
1,7,534999,535117,775,893,177,217
1,8,645317,645498,894,1075,217,277
1,9,646612,646740,1076,1204,278,320
1,10,699458,699646,1205,1393,321,383
1,11,700297,700478,1394,1575,384,444
1,12,730157,730307,1576,1726,444,494
1,13,748734,748853,1727,1846,495,534
1,14,770764,770865,1847,1948,535,568
1,15,770973,771080,1949,2056,569,604
1,16,778729,778908,2057,2236,605,664
1,17,799276,799451,2237,2412,665,723
1,18,826479,826602,2413,2536,723,764
1,19,842768,842855,2537,2624,765,794
1,20,853092,853333,2625,2866,794,874
1,21,859511,859691,2867,3047,875,935
1,22,872301,872446,3048,3193,935,983
1,23,875900,876112,3194,3406,984,1054
1,24,879911,880024,3407,3520,1055,1092
1,25,881016,881171,3521,3676,1093,1144
1,26,889778,889948,3677,3847,1145,1201
1,27,895972,896154,3848,4030,1202,1262
1,28,903296,903430,4031,4165,1263,1307
1,29,906220,906369,4166,4315,1308,1357
1,30,932697,932858,4316,4477,1358,1411
1,31,954429,954539,4478,4588,1412,1448
1,32,954936,955109,4589,4762,1449,1506
1,33,958145,958300,4763,4918,1507,1558
1,34,963930,964100,4919,5089,1559,1615
1,35,979411,979590,5090,5269,1616,1675
1,36,979900,980028,5270,5398,1676,1718
1,37,981652,981822,5399,5569,1719,1775
1,38,996082,996204,5570,5692,1776,1816
1,39,998530,998667,5693,5830,1817,1862
1,40,1001324,1001476,5831,5983,1863,1913
1,41,1002328,1002510,5984,6166,1914,1974
1,42,1034334,1034528,6167,6361,1975,2039
1,43,1056909,1057081,6362,6534,2040,2097
1,44,1127547,1127694,6535,6682,2097,2146
1,45,1376096,1376271,6683,6858,2147,2205
1,46,1412383,1412530,6859,7006,2205,2254
1,47,1414865,1415014,7007,7156,2255,2304
1,48,1469237,1469422,7157,7342,2305,2366
1,49,1507791,1507892,7343,7444,2367,2400
1,50,1524527,1524635,7445,7553,2401,2437
1,51,1570418,1570650,7554,7786,2437,2514
1,52,1614862,1614979,7787,7904,2515,2554
1,53,1665024,1665235,7905,8116,2554,2624
1,54,1686466,1686620,8117,8271,2625,2676
1,55,1716748,1716937,8272,8461,2676,2739
1,56,1837157,1837329,8462,8634,2740,2797
1,57,1847666,1847822,8635,8791,2797,2849
1,58,1865507,1865627,8792,8912,2850,2890
1,59,1866236,1866504,8913,9181,2890,2979
1,60,1899983,1900129,9182,9328,2980,3028
1,61,1995976,1996054,9329,9407,3029,3055
1,62,2020952,2021012,9408,9468,3055,3075
1,63,2083594,2083655,9469,9530,3075,3096
1,64,2121489,2121563,9531,9605,3096,3121
1,65,2134911,2135112,9606,9807,3121,3188
1,66,2137943,2138028,9808,9893,3188,3217
1,67,2140492,2140649,9894,10051,3217,3269
1,68,2161706,2161872,10052,10218,3270,3325
1,69,2164129,2164240,10219,10330,3325,3362
1,70,2165805,2165941,10331,10467,3363,3408
1,71,2166640,2166678,10468,10506,3408,3421
1,72,2171006,2171071,10507,10572,3421,3443
1,73,2172197,2172262,10573,10638,3443,3465
1,74,2175009,2175167,10639,10797,3465,3518
1,75,2197092,2197335,10798,11041,3518,3599
1,76,2198196,2198319,11042,11165,3600,3641
1,77,2210416,2210508,11166,11258,3641,3672
1,78,2217937,2217968,11259,11290,3672,3682
1,79,2222680,2225382,11291,13993,3683,3685
