transcript,exon,ex_start,ex_end,tr_start,tr_end,pt_start,pt_end
1,1,5001,5084,1,84,N/A,N/A
1,2,5969,6093,85,209,1,7
1,3,7910,8042,210,342,7,51
1,4,12791,12951,343,503,52,105
1,5,19114,19201,504,591,105,134
1,6,19999,20140,592,733,135,182
1,7,22472,22586,734,848,182,220
1,8,27116,27301,849,1034,220,282
1,9,28233,28404,1035,1206,282,339
1,10,30982,31062,1207,1287,340,366
1,11,34636,34762,1288,1414,367,409
1,12,37839,37939,1415,1515,409,442
1,13,39294,39467,1516,1689,443,500
1,14,42537,42599,1690,1752,501,521
1,15,51437,51656,1753,1972,522,595
1,16,52982,53065,1973,2056,595,623
1,17,61640,61698,2057,2115,623,642
1,18,62976,63043,2116,2183,643,665
1,19,68889,68964,2184,2259,665,690
1,20,78694,81575,2260,5141,691,708
