trans_vers	exon	exon_start	exon_end	trans_start	trans_end	prot_start	prot_end
1	2	50339	50405	1	67	N/A	N/A
1	4	67353	67505	68	220	1	45
1	5	78806	78890	221	305	46	74
1	6	79669	79870	306	507	74	141
1	7	88109	88217	508	616	141	177
1	8	93270	93383	617	730	178	215
1	9	104926	105009	731	814	216	243
1	10	113759	113863	815	919	244	278
1	11	127975	128073	920	1018	279	311
1	12	131446	131824	1019	1397	312	438
1	13	134376	134471	1398	1493	438	470
1	14	139588	139727	1494	1633	470	516
1	15	140409	140486	1634	1711	517	542
1	16	141336	141452	1712	1828	543	581
1	17	147431	147645	1829	2043	582	653
1	18	150033	158719	2044	10730	653	2843
2	2	50339	50405	1	67	N/A	N/A
2	3	50833	50940	68	175	N/A	N/A
2	4	67353	67505	176	328	1	45
2	5	78806	78890	329	413	46	74
2	6	79669	79870	414	615	74	141
2	7	88109	88217	616	724	141	177
2	8	93270	93383	725	838	178	215
2	9	104926	105009	839	922	216	243
2	10	113759	113863	923	1027	244	278
2	11	127975	128073	1028	1126	279	311
2	12	131446	131824	1127	1505	312	438
2	13	134376	134471	1506	1601	438	470
2	14	139588	139727	1602	1741	470	516
2	15	140409	140486	1742	1819	517	542
2	16	141336	141452	1820	1936	543	581
2	17	147431	147645	1937	2151	582	653
2	18	150033	158719	2152	10838	653	2843
3	1	20001	20362	1	362	N/A	N/A
3	4	67353	67505	363	515	1	45
3	5	78806	78890	516	600	46	74
3	6	79669	79870	601	802	74	141
3	7	88109	88217	803	911	141	177
3	8	93270	93383	912	1025	178	215
3	9	104926	105009	1026	1109	216	243
3	10	113759	113863	1110	1214	244	278
3	11	127975	128073	1215	1313	279	311
3	12	131446	131824	1314	1692	312	438
3	13	134376	134471	1693	1788	438	470
3	14	139588	139727	1789	1928	470	516
3	15	140409	140486	1929	2006	517	542
3	16	141336	141452	2007	2123	543	581
3	17	147431	147645	2124	2338	582	653
3	18	150033	158719	2339	11025	653	2843
