transcript	exon	ex_start	ex_end	tr_start	tr_end	pt_start	pt_end
1	1	5001	5252	1	252	1	12
1	2	10960	11080	253	373	13	53
1	3	11868	12058	374	564	53	116
1	4	12147	12186	565	604	117	130
1	5	12301	12374	605	678	130	154
1	6	12512	12553	679	720	155	168
1	7	12637	12708	721	792	169	192
1	8	12784	12897	793	906	193	230
1	9	12983	13080	907	1004	231	263
1	10	13161	13305	1005	1149	263	311
1	11	13385	13448	1150	1213	312	333
1	12	13622	13810	1214	1402	333	396
1	13	13915	14051	1403	1539	396	441
1	14	14137	14289	1540	1692	442	492
1	15	14914	14955	1693	1734	493	506
1	16	16034	16229	1735	1930	507	549
